epoch,lr,train loss,train acc,test loss,test acc,decay
0,0.01,4.4121496756871545,3.2,4.137674123812944,7.28,"tensor([0.0100], device='cuda:0')"
1,0.01,3.9586997160544763,9.346,3.756790870275253,13.61,"tensor([0.0100], device='cuda:0')"
2,0.01,3.620720363274599,15.01,3.4655539286442294,18.52,"tensor([0.0100], device='cuda:0')"
3,0.01,3.361040648435935,19.686,3.17506119226798,24.59,"tensor([0.0100], device='cuda:0')"
4,0.01,3.1183663643323456,24.132,2.9725090509805923,28.01,"tensor([0.0100], device='cuda:0')"
5,0.01,2.9207493513058393,28.222,2.7501835975891504,33.15,"tensor([0.0100], device='cuda:0')"
6,0.01,2.743818051998432,31.456,2.6144863153115296,34.67,"tensor([0.0100], device='cuda:0')"
7,0.01,2.5733690133461584,34.752,2.4739406383954563,37.27,"tensor([0.0100], device='cuda:0')"
8,0.01,2.450122945430951,37.586,2.3518556280013843,39.88,"tensor([0.0100], device='cuda:0')"
9,0.01,2.3590981183907926,39.088,2.314961063556182,40.75,"tensor([0.0100], device='cuda:0')"
