epoch,lr,train loss,train acc,test loss,test acc,decay
0,0.01,4.274005949802888,4.946,3.9542026275243516,11.06,"tensor([0.1000], device='cuda:0')"
1,0.01,3.729055781853505,13.428,3.52570755359454,17.98,"tensor([0.1000], device='cuda:0')"
2,0.01,3.350979199164953,19.74,3.1264372361011996,24.81,"tensor([0.1000], device='cuda:0')"
3,0.01,3.016955516888545,26.092,2.801490129568638,31.16,"tensor([0.1000], device='cuda:0')"
4,0.01,2.6978490902827335,32.63,2.5455329693280735,36.47,"tensor([0.1000], device='cuda:0')"
5,0.01,2.431319700143276,38.03,2.284410696763259,41.85,"tensor([0.1000], device='cuda:0')"
6,0.01,2.1949475361750674,43.168,2.1031395609562216,45.89,"tensor([0.1000], device='cuda:0')"
7,0.01,2.0188362714571833,47.024,2.0406583960239706,47.84,"tensor([0.1000], device='cuda:0')"
8,0.01,1.8700727918209175,50.182,1.8981996316176195,50.23,"tensor([0.1000], device='cuda:0')"
9,0.01,1.7444001946693812,53.026,1.8172404750799522,53.18,"tensor([0.1000], device='cuda:0')"
