epoch,lr,train loss,train acc,test loss,test acc,decay
0,0.01,4.376136686863044,3.734,3.9857616210595155,9.72,"tensor([0.0100], device='cuda:0')"
1,0.01,3.746540438211881,12.594,3.5484772492677736,16.52,"tensor([0.0100], device='cuda:0')"
2,0.01,3.3287213979623256,19.682,3.133797355187245,24.93,"tensor([0.0100], device='cuda:0')"
3,0.01,2.9499851300166204,26.62,2.7542951993453197,31.19,"tensor([0.0100], device='cuda:0')"
4,0.01,2.61066123399979,33.38,2.3572844633689294,39.87,"tensor([0.0100], device='cuda:0')"
5,0.01,2.303863848172701,40.012,2.2357136469620924,42.99,"tensor([0.0100], device='cuda:0')"
6,0.01,2.072271687556536,45.184,2.02854129137137,47.75,"tensor([0.0100], device='cuda:0')"
7,0.01,1.8803636994117345,49.598,1.9747984256499853,49.44,"tensor([0.0100], device='cuda:0')"
8,0.01,1.7005899007503802,53.874,1.848885612610059,51.54,"tensor([0.0100], device='cuda:0')"
9,0.01,1.5677116250380492,56.722,1.7245663435031207,54.18,"tensor([0.0100], device='cuda:0')"
