epoch,lr,train loss,train acc,test loss,test acc,decay
0,0.01,4.530902571555895,1.908,4.336903627102192,4.76,"tensor([1.0000e-04], device='cuda:0')"
1,0.01,4.076808170783214,7.15,3.9265613647607656,10.87,"tensor([1.0000e-04], device='cuda:0')"
2,0.01,3.803580067707942,11.904,3.669538516264695,15.14,"tensor([1.0000e-04], device='cuda:0')"
3,0.01,3.5650303620558517,15.828,3.4901802448125987,18.09,"tensor([1.0000e-04], device='cuda:0')"
4,0.01,3.349475993254246,19.496,3.180811826999371,23.69,"tensor([1.0000e-04], device='cuda:0')"
5,0.01,3.1707814870736537,22.576,3.020921196693029,26.45,"tensor([1.0000e-04], device='cuda:0')"
6,0.01,3.018503126731286,25.616,2.8738995026319456,29.54,"tensor([1.0000e-04], device='cuda:0')"
7,0.01,2.873459583673722,28.4,2.761687566072513,31.35,"tensor([1.0000e-04], device='cuda:0')"
8,0.01,2.726879971455305,31.304,2.6381098398795495,34.18,"tensor([1.0000e-04], device='cuda:0')"
9,0.01,2.631463051453615,33.096,2.560705077953828,35.26,"tensor([1.0000e-04], device='cuda:0')"
