epoch,lr,train loss,train acc,test loss,test acc,decay
0,0.01,4.00737673380436,10.062,3.7352485014842105,14.87,"tensor([1.0000e-04], device='cuda:0')"
1,0.01,3.6500675201416017,16.022,3.5086650237058983,20.28,"tensor([1.0000e-04], device='cuda:0')"
2,0.01,3.4589344770480426,19.554,3.334043820699056,22.72,"tensor([1.0000e-04], device='cuda:0')"
3,0.01,3.310965161445813,22.412,3.184799597813533,25.56,"tensor([1.0000e-04], device='cuda:0')"
4,0.01,3.222904786696801,23.792,3.1257767249376345,26.3,"tensor([1.0000e-04], device='cuda:0')"
5,0.01,3.1698400631929053,24.834,3.068921147248684,27.6,"tensor([1.0000e-04], device='cuda:0')"
6,0.01,3.131456812222799,25.7,3.0220010769672885,28.4,"tensor([1.0000e-04], device='cuda:0')"
7,0.01,3.09594527391287,26.024,2.997602267143054,29.82,"tensor([1.0000e-04], device='cuda:0')"
8,0.01,3.0659463216096925,26.874,2.949476945094573,29.89,"tensor([1.0000e-04], device='cuda:0')"
9,0.01,3.033019435711396,27.218,2.9172019286033435,31.43,"tensor([1.0000e-04], device='cuda:0')"
