epoch,lr,train loss,train acc,test loss,test acc,decay
0,0.01,4.4661702021574365,2.862,4.166550046358353,6.74,"tensor([0.0100], device='cuda:0')"
1,0.01,3.991714377892323,8.876,3.8230610199463673,12.59,"tensor([0.0100], device='cuda:0')"
2,0.01,3.6995905130337445,13.578,3.5469909631288967,17.09,"tensor([0.0100], device='cuda:0')"
3,0.01,3.4896952629089357,17.246,3.372351450797839,20.02,"tensor([0.0100], device='cuda:0')"
4,0.01,3.321439272318131,20.13,3.2599434638634706,22.69,"tensor([0.0100], device='cuda:0')"
5,0.01,3.1967188639518542,22.774,3.0828575629454393,26.26,"tensor([0.0100], device='cuda:0')"
6,0.01,3.0673275868097942,24.988,2.949113803032117,28.18,"tensor([0.0100], device='cuda:0')"
7,0.01,2.9519659409156214,27.282,2.949795759641207,28.89,"tensor([0.0100], device='cuda:0')"
8,0.01,2.858488769408984,28.812,2.7611529429753623,31.89,"tensor([0.0100], device='cuda:0')"
9,0.01,2.754627661827283,31.066,2.735427896181742,32.62,"tensor([0.0100], device='cuda:0')"
