epoch,lr,train loss,train acc,test loss,test acc,decay
0,0.01,4.46806248151339,2.762,4.260836460651496,4.98,"tensor([0.1000], device='cuda:0')"
1,0.01,4.094491270260933,7.684,3.9650246699651084,10.74,"tensor([0.1000], device='cuda:0')"
2,0.01,3.8265157455053087,12.096,3.7156270008820753,14.79,"tensor([0.1000], device='cuda:0')"
3,0.01,3.6356346105917905,15.36,3.508194712492136,18.54,"tensor([0.1000], device='cuda:0')"
4,0.01,3.4496002943087847,18.426,3.3436734156730847,21.7,"tensor([0.1000], device='cuda:0')"
5,0.01,3.289827405489408,21.266,3.190698822339376,24.05,"tensor([0.1000], device='cuda:0')"
6,0.01,3.1710124186980417,23.516,3.079868741524525,26.27,"tensor([0.1000], device='cuda:0')"
7,0.01,3.076091746183542,24.934,3.040751481667543,26.99,"tensor([0.1000], device='cuda:0')"
8,0.01,3.002042662791717,26.77,2.9618392143494043,28.61,"tensor([0.1000], device='cuda:0')"
9,0.01,2.9323343594868976,27.924,2.8772693413954515,30.19,"tensor([0.1000], device='cuda:0')"
