epoch,lr,train loss,train acc,test loss,test acc,decay
0,0.01,4.324893272840059,4.644,3.990401809032147,10.01,"tensor([0.0100], device='cuda:0')"
1,0.01,3.8064020939362355,12.062,3.6066180223073716,16.09,"tensor([0.0100], device='cuda:0')"
2,0.01,3.4744686823624833,17.552,3.356147750830039,20.74,"tensor([0.0100], device='cuda:0')"
3,0.01,3.2140631694060104,22.546,3.0512677278274145,26.55,"tensor([0.0100], device='cuda:0')"
4,0.01,2.9632139468804386,27.232,2.7857106832357554,31.52,"tensor([0.0100], device='cuda:0')"
5,0.01,2.738380671158815,31.82,2.613648001964276,34.86,"tensor([0.0100], device='cuda:0')"
6,0.01,2.5177105555167567,36.4,2.364112742436238,40.26,"tensor([0.0100], device='cuda:0')"
7,0.01,2.3358094276526034,39.738,2.183288192137694,43.95,"tensor([0.0100], device='cuda:0')"
8,0.01,2.171096343871875,43.594,2.1513398473079386,45.04,"tensor([0.0100], device='cuda:0')"
9,0.01,2.0562750461773995,46.034,2.0086513115809512,47.74,"tensor([0.0100], device='cuda:0')"
