epoch,lr,train loss,train acc,test loss,test acc,decay
0,0.01,4.486493786787375,2.374,4.283675566697732,4.9,"tensor([1.0000e-04], device='cuda:0')"
1,0.01,4.131286682226719,6.87,3.9881236247527294,10.82,"tensor([1.0000e-04], device='cuda:0')"
2,0.01,3.8559804384525007,11.69,3.729322081957108,14.73,"tensor([1.0000e-04], device='cuda:0')"
3,0.01,3.6539364686379066,15.108,3.5644713670779495,17.9,"tensor([1.0000e-04], device='cuda:0')"
4,0.01,3.4943980106940637,17.91,3.3942984373141556,20.49,"tensor([1.0000e-04], device='cuda:0')"
5,0.01,3.3372046715173966,20.59,3.2041457249568057,23.77,"tensor([1.0000e-04], device='cuda:0')"
6,0.01,3.2133558536187197,23.036,3.0695262046960683,26.07,"tensor([1.0000e-04], device='cuda:0')"
7,0.01,3.106652238430121,25.068,2.9739627777001796,28.37,"tensor([1.0000e-04], device='cuda:0')"
8,0.01,3.0227463856721535,26.36,2.92474818841005,29.32,"tensor([1.0000e-04], device='cuda:0')"
9,0.01,2.9613089867127247,27.658,2.881417155265808,30.23,"tensor([1.0000e-04], device='cuda:0')"
