epoch,lr,train loss,train acc,test loss,test acc,decay
0,0.01,4.776347286273271,1.496,4.466364450943776,2.18,"tensor([100.], device='cuda:0')"
1,0.01,4.399241176018348,5.196,3.963203815313486,10.41,"tensor([100.], device='cuda:0')"
2,0.01,3.9427212201631985,12.22,3.559437693693699,16.17,"tensor([100.], device='cuda:0')"
3,0.01,3.619298020387307,17.69,3.25306323552743,21.71,"tensor([100.], device='cuda:0')"
4,0.01,3.4008498631990873,21.998,3.0058872516338644,26.96,"tensor([100.], device='cuda:0')"
5,0.01,3.2184049948667868,26.058,2.9329610543373303,28.52,"tensor([100.], device='cuda:0')"
6,0.01,3.058674622804691,29.576,2.7048114232527904,32.26,"tensor([100.], device='cuda:0')"
7,0.01,2.9203884509893565,32.876,2.6804376993423853,32.79,"tensor([100.], device='cuda:0')"
8,0.01,2.7875095239052405,35.734,2.348089725543291,40.2,"tensor([100.], device='cuda:0')"
9,0.01,2.6858174018370797,38.654,2.3027684612151904,40.34,"tensor([100.], device='cuda:0')"
