epoch,lr,train loss,train acc,test loss,test acc,decay
0,0.01,4.056691219867804,9.424,3.7622298919237576,14.7,"tensor([0.0100], device='cuda:0')"
1,0.01,3.7080170918733644,14.806,3.5828867753346763,18.32,"tensor([0.0100], device='cuda:0')"
2,0.01,3.5585499714582394,17.496,3.4542893904906053,20.89,"tensor([0.0100], device='cuda:0')"
3,0.01,3.4261029922045196,20.118,3.2946185209812264,24.32,"tensor([0.0100], device='cuda:0')"
4,0.01,3.304184751632886,22.416,3.169294060804905,25.98,"tensor([0.0100], device='cuda:0')"
5,0.01,3.2318445071195945,23.496,3.1078756833687806,27.17,"tensor([0.0100], device='cuda:0')"
6,0.01,3.181236043954507,24.402,3.0733409141882873,27.94,"tensor([0.0100], device='cuda:0')"
7,0.01,3.149220715424953,24.966,3.0321438312530518,28.19,"tensor([0.0100], device='cuda:0')"
8,0.01,3.1157601876136582,25.734,3.0352563796899257,28.45,"tensor([0.0100], device='cuda:0')"
9,0.01,3.08846891048627,26.078,2.982895096143087,29.42,"tensor([0.0100], device='cuda:0')"
