epoch,lr,train loss,train acc,test loss,test acc,decay
0,0.01,4.238225332284585,6.418,3.947871996806218,11.18,"tensor([0.0100], device='cuda:0')"
1,0.01,3.8333781315730167,12.602,3.7186164061228433,15.61,"tensor([0.0100], device='cuda:0')"
2,0.01,3.706644138923058,14.866,3.637733606191782,17.26,"tensor([0.0100], device='cuda:0')"
3,0.01,3.6443559726079306,16.004,3.5811904088044777,17.91,"tensor([0.0100], device='cuda:0')"
4,0.01,3.6070766216669328,16.558,3.552101804659917,18.74,"tensor([0.0100], device='cuda:0')"
5,0.01,3.581214757454701,17.126,3.529468524150359,19.67,"tensor([0.0100], device='cuda:0')"
6,0.01,3.5509434608312755,17.608,3.5125902402095304,19.34,"tensor([0.0100], device='cuda:0')"
7,0.01,3.5288133829067916,17.902,3.487745572359134,20.13,"tensor([0.0100], device='cuda:0')"
8,0.01,3.5173743021793853,18.25,3.4646309430782614,20.33,"tensor([0.0100], device='cuda:0')"
9,0.01,3.495623919291374,18.584,3.4407887000304003,20.91,"tensor([0.0100], device='cuda:0')"
