epoch,lr,train loss,train acc,test loss,test acc,decay
0,0.01,4.057848264620854,9.066,3.704638007359627,15.67,"tensor([0.1000], device='cuda:0')"
1,0.01,3.5631440058732644,16.93,3.342223118513058,22.32,"tensor([0.1000], device='cuda:0')"
2,0.01,3.2579909764803374,22.626,3.0506514494235697,27.83,"tensor([0.1000], device='cuda:0')"
3,0.01,3.041982068770971,26.722,2.906419011262747,30.1,"tensor([0.1000], device='cuda:0')"
4,0.01,2.841522046847221,30.444,2.652345046018943,35.23,"tensor([0.1000], device='cuda:0')"
5,0.01,2.678686596797063,33.686,2.506195239531688,37.96,"tensor([0.1000], device='cuda:0')"
6,0.01,2.574316990069854,36.128,2.4263355166484146,39.91,"tensor([0.1000], device='cuda:0')"
7,0.01,2.487628890000857,37.654,2.336392084757487,42.23,"tensor([0.1000], device='cuda:0')"
8,0.01,2.4023936415329956,39.362,2.3007896221601047,42.66,"tensor([0.1000], device='cuda:0')"
9,0.01,2.341587953689771,40.928,2.238398124010135,44.08,"tensor([0.1000], device='cuda:0')"
