epoch,lr,train loss,train acc,test loss,test acc,decay
0,0.01,4.531831575051332,2.04,4.282019352301573,5.19,"tensor([0.0100], device='cuda:0')"
1,0.01,4.012986705242059,8.1,3.7900324081763244,13.04,"tensor([0.0100], device='cuda:0')"
2,0.01,3.646727922023871,14.24,3.487264266380897,18.35,"tensor([0.0100], device='cuda:0')"
3,0.01,3.3216411291024626,19.744,3.207978838529342,22.9,"tensor([0.0100], device='cuda:0')"
4,0.01,3.09437526067098,24.312,2.9073797586636667,29.02,"tensor([0.0100], device='cuda:0')"
5,0.01,2.8911802285756822,28.016,2.7551348698444857,31.61,"tensor([0.0100], device='cuda:0')"
6,0.01,2.7043127469527417,31.672,2.564146494254088,35.65,"tensor([0.0100], device='cuda:0')"
7,0.01,2.543918151121873,35.0,2.4858429554181223,36.73,"tensor([0.0100], device='cuda:0')"
8,0.01,2.4056205935967276,37.846,2.279751268716959,41.78,"tensor([0.0100], device='cuda:0')"
9,0.01,2.2729101987985465,40.83,2.2117342948913574,42.51,"tensor([0.0100], device='cuda:0')"
