epoch,lr,train loss,train acc,test loss,test acc,decay
0,0.01,4.32766391375126,4.464,4.10307435805981,8.11,"tensor([0.0100], device='cuda:0')"
1,0.01,3.9114080857007933,10.666,3.750296589655754,14.56,"tensor([0.0100], device='cuda:0')"
2,0.01,3.6137590371645416,15.7,3.447341582713983,19.84,"tensor([0.0100], device='cuda:0')"
3,0.01,3.3872625729976558,19.616,3.231438737649184,23.14,"tensor([0.0100], device='cuda:0')"
4,0.01,3.1796565826122576,23.426,3.0242643723121057,27.64,"tensor([0.0100], device='cuda:0')"
5,0.01,3.0287420162787804,26.124,3.0325987675251107,27.21,"tensor([0.0100], device='cuda:0')"
6,0.01,2.889685186361655,29.058,2.805596113204956,31.84,"tensor([0.0100], device='cuda:0')"
7,0.01,2.7735591796728283,31.362,2.6549313771419034,34.96,"tensor([0.0100], device='cuda:0')"
8,0.01,2.685499523847531,33.35,2.6173783907523522,35.38,"tensor([0.0100], device='cuda:0')"
9,0.01,2.608447616528242,34.662,2.538884557210482,36.5,"tensor([0.0100], device='cuda:0')"
