epoch,lr,train loss,train acc,test loss,test acc,decay
0,0.01,4.398680947377131,3.95,4.104159135084886,8.86,"tensor([0.1000], device='cuda:0')"
1,0.01,3.9865047314228157,9.878,3.8884979822696786,12.53,"tensor([0.1000], device='cuda:0')"
2,0.01,3.8708154323773507,11.898,3.8266524993456326,13.08,"tensor([0.1000], device='cuda:0')"
3,0.01,3.8139582285514244,12.996,3.767060215656574,14.68,"tensor([0.1000], device='cuda:0')"
4,0.01,3.7774321446051964,13.804,3.7331069157673764,15.8,"tensor([0.1000], device='cuda:0')"
5,0.01,3.7467734025074884,14.228,3.6977909925656443,16.1,"tensor([0.1000], device='cuda:0')"
6,0.01,3.7225055731259857,14.75,3.6620635711229763,17.04,"tensor([0.1000], device='cuda:0')"
7,0.01,3.7013938145759777,15.32,3.6491061601883326,17.42,"tensor([0.1000], device='cuda:0')"
8,0.01,3.6772391912264704,15.72,3.6397864604607606,17.6,"tensor([0.1000], device='cuda:0')"
9,0.01,3.6694438952666064,15.892,3.62988748611548,17.09,"tensor([0.1000], device='cuda:0')"
