epoch,lr,train loss,train acc,test loss,test acc,decay
0,0.01,4.359612235044822,3.788,4.029664054895059,9.19,"tensor([1.0000e-04], device='cuda:0')"
1,0.01,3.776942610129332,11.81,3.5214722553888955,17.47,"tensor([1.0000e-04], device='cuda:0')"
2,0.01,3.390849014428946,18.596,3.174529500496693,23.36,"tensor([1.0000e-04], device='cuda:0')"
3,0.01,3.03036070053394,25.4,2.7742352944154005,31.19,"tensor([1.0000e-04], device='cuda:0')"
4,0.01,2.699184221487779,31.898,2.4941551043437076,35.78,"tensor([1.0000e-04], device='cuda:0')"
5,0.01,2.3827501110541514,38.164,2.252966128862821,42.06,"tensor([1.0000e-04], device='cuda:0')"
6,0.01,2.128041057708936,43.926,2.083339649897355,46.82,"tensor([1.0000e-04], device='cuda:0')"
7,0.01,1.9307648322521112,48.356,1.9662547294910138,48.92,"tensor([1.0000e-04], device='cuda:0')"
8,0.01,1.7574671855339636,52.226,1.8104715301440313,52.85,"tensor([1.0000e-04], device='cuda:0')"
9,0.01,1.6101348467362233,55.7,1.796241744970664,53.49,"tensor([1.0000e-04], device='cuda:0')"
