epoch,lr,train loss,train acc,test loss,test acc,decay
0,0.01,4.44956865066137,3.486,4.174885135430556,6.84,"tensor([100.], device='cuda:0')"
1,0.01,4.045114357654865,9.126,3.889913091292748,12.05,"tensor([100.], device='cuda:0')"
2,0.01,3.9019634968195205,11.838,3.7832304514371433,14.41,"tensor([100.], device='cuda:0')"
3,0.01,3.8525030576265777,12.818,3.75807300897745,14.83,"tensor([100.], device='cuda:0')"
4,0.01,3.8270446905722983,13.404,3.725434272717207,15.56,"tensor([100.], device='cuda:0')"
5,0.01,3.8131993611653647,13.968,3.708874457921737,15.68,"tensor([100.], device='cuda:0')"
6,0.01,3.794913549300952,14.092,3.689696883543944,16.08,"tensor([100.], device='cuda:0')"
7,0.01,3.7889950446593454,14.334,3.67872399244553,16.36,"tensor([100.], device='cuda:0')"
8,0.01,3.781450147506518,14.386,3.677522029632177,16.53,"tensor([100.], device='cuda:0')"
9,0.01,3.7752309994819835,14.662,3.664091345591423,16.8,"tensor([100.], device='cuda:0')"
