epoch,lr,train loss,train acc,test loss,test acc,decay
0,0.01,4.3849824691430115,3.752,4.1689688456364165,6.59,"tensor([0.1000], device='cuda:0')"
1,0.01,4.009252400275988,8.882,3.8913939824471107,12.68,"tensor([0.1000], device='cuda:0')"
2,0.01,3.7097699128664456,14.234,3.5339816441902747,18.27,"tensor([0.1000], device='cuda:0')"
3,0.01,3.4590909224290116,18.344,3.3490732602584057,22.21,"tensor([0.1000], device='cuda:0')"
4,0.01,3.259209232452588,22.072,3.114657927782108,26.04,"tensor([0.1000], device='cuda:0')"
5,0.01,3.089345574990297,25.336,3.0083043453020926,27.57,"tensor([0.1000], device='cuda:0')"
6,0.01,2.9412714175688914,28.022,2.8335635784344797,31.2,"tensor([0.1000], device='cuda:0')"
7,0.01,2.817483392128578,30.586,2.7599516342847776,32.63,"tensor([0.1000], device='cuda:0')"
8,0.01,2.715785796825702,32.594,2.628130759948339,35.42,"tensor([0.1000], device='cuda:0')"
9,0.01,2.6187563822819637,34.552,2.542225944690215,36.57,"tensor([0.1000], device='cuda:0')"
