epoch,lr,train loss,train acc,test loss,test acc,decay
0,0.01,4.067662322826875,10.308,3.724875624363239,15.64,"tensor([100.], device='cuda:0')"
1,0.01,3.734453538747934,16.064,3.5154878481840477,20.2,"tensor([100.], device='cuda:0')"
2,0.01,3.5801134274556086,19.218,3.345581366465642,22.86,"tensor([100.], device='cuda:0')"
3,0.01,3.4523796876271566,21.674,3.2138785460056405,25.46,"tensor([100.], device='cuda:0')"
4,0.01,3.3722296219605665,23.188,3.140564126846118,26.35,"tensor([100.], device='cuda:0')"
5,0.01,3.332594104302235,24.332,3.126727657440381,26.74,"tensor([100.], device='cuda:0')"
6,0.01,3.2993571629891028,24.822,3.023452346141522,28.44,"tensor([100.], device='cuda:0')"
7,0.01,3.264569142537239,25.628,3.019323700513595,28.78,"tensor([100.], device='cuda:0')"
8,0.01,3.2349645437338412,26.39,2.956961928269802,29.93,"tensor([100.], device='cuda:0')"
9,0.01,3.2181117173952933,26.806,2.9339590592262073,30.14,"tensor([100.], device='cuda:0')"
