epoch,lr,train loss,train acc,test loss,test acc,decay
0,0.01,1.9198883603780696,30.998,1.7232001974032476,39.28,"tensor([0.0100], device='cuda:0')"
1,0.01,1.6978675313484974,39.434,1.5962742857443981,44.29,"tensor([0.0100], device='cuda:0')"
2,0.01,1.6050391013805683,42.718,1.5314260476674788,46.93,"tensor([0.0100], device='cuda:0')"
3,0.01,1.5593031464478908,44.298,1.4430929789176354,49.56,"tensor([0.0100], device='cuda:0')"
4,0.01,1.5239139098387497,45.822,1.4245755550188897,50.42,"tensor([0.0100], device='cuda:0')"
5,0.01,1.4962104296072936,46.65,1.3869589933982263,52.14,"tensor([0.0100], device='cuda:0')"
6,0.01,1.4699984529079535,47.874,1.3539488330865517,52.39,"tensor([0.0100], device='cuda:0')"
7,0.01,1.441912074578114,48.788,1.3655545635101123,52.3,"tensor([0.0100], device='cuda:0')"
8,0.01,1.4169091750413945,49.922,1.3194347818692524,54.0,"tensor([0.0100], device='cuda:0')"
9,0.01,1.394886401677743,50.762,1.2779307808631506,56.22,"tensor([0.0100], device='cuda:0')"
