epoch,lr,train loss,train acc,test loss,test acc,decay
0,0.01,2.2166203000606637,29.738,1.5951406267973094,42.12,"tensor([100.], device='cuda:0')"
1,0.01,1.7933714044399751,45.084,1.327746107028081,51.9,"tensor([100.], device='cuda:0')"
2,0.01,1.5318571506402432,55.23,1.1505034130353193,59.39,"tensor([100.], device='cuda:0')"
3,0.01,1.359762205527379,61.594,1.022598148156435,65.14,"tensor([100.], device='cuda:0')"
4,0.01,1.2186013539632161,66.478,0.8915540285599537,70.18,"tensor([100.], device='cuda:0')"
5,0.01,1.1064879163717611,70.798,0.8268776245606251,72.04,"tensor([100.], device='cuda:0')"
6,0.01,1.0299356145736498,73.458,0.7610249996949465,73.77,"tensor([100.], device='cuda:0')"
7,0.01,0.9635556424275423,75.738,0.7119175245364507,76.04,"tensor([100.], device='cuda:0')"
8,0.01,0.917605731731806,77.424,0.6412410541222646,78.15,"tensor([100.], device='cuda:0')"
9,0.01,0.8723351863714365,78.926,0.6235521405171125,78.48,"tensor([100.], device='cuda:0')"
