epoch,lr,train loss,train acc,test loss,test acc,decay
0,0.01,2.2854392418494593,13.64,2.090854660058633,27.03,"tensor([100.], device='cuda:0')"
1,0.01,1.883988076906938,31.83,1.7475215334158678,36.73,"tensor([100.], device='cuda:0')"
2,0.01,1.7358341391269978,37.954,1.6086177642528827,41.18,"tensor([100.], device='cuda:0')"
3,0.01,1.6305838456520667,43.132,1.4763291310041378,46.17,"tensor([100.], device='cuda:0')"
4,0.01,1.5212041919048016,47.628,1.367389631577027,52.51,"tensor([100.], device='cuda:0')"
5,0.01,1.4219356264823522,52.044,1.3125213568027203,53.54,"tensor([100.], device='cuda:0')"
6,0.01,1.3542788468874418,55.204,1.1766805343138866,58.69,"tensor([100.], device='cuda:0')"
7,0.01,1.2767235703957387,58.554,1.129122828061764,60.91,"tensor([100.], device='cuda:0')"
8,0.01,1.2408792538520617,59.852,1.0433905170514033,63.66,"tensor([100.], device='cuda:0')"
9,0.01,1.2080480951529282,61.622,1.0473028696500337,62.84,"tensor([100.], device='cuda:0')"
