epoch,lr,train loss,train acc,test loss,test acc,decay
0,0.01,2.1144284104689572,20.886,1.999085125250694,28.66,"tensor([1.0000e-04], device='cuda:0')"
1,0.01,1.9192576475632497,29.418,1.7735419609607794,35.52,"tensor([1.0000e-04], device='cuda:0')"
2,0.01,1.7765915292959946,35.452,1.6682019600501428,41.25,"tensor([1.0000e-04], device='cuda:0')"
3,0.01,1.6629940390586853,39.686,1.5669395403984265,44.28,"tensor([1.0000e-04], device='cuda:0')"
4,0.01,1.5479554873246413,44.45,1.5563567937948766,44.74,"tensor([1.0000e-04], device='cuda:0')"
5,0.01,1.4500878456311348,48.092,1.3618975602663481,51.76,"tensor([1.0000e-04], device='cuda:0')"
6,0.01,1.3978473082566873,50.234,1.5571195360941765,47.08,"tensor([1.0000e-04], device='cuda:0')"
7,0.01,1.3630212258069943,51.61,1.3666043189855723,52.83,"tensor([1.0000e-04], device='cuda:0')"
8,0.01,1.3365369860942546,52.556,1.3012169630099566,54.64,"tensor([1.0000e-04], device='cuda:0')"
9,0.01,1.3124359940871215,53.52,1.2744009326665828,54.85,"tensor([1.0000e-04], device='cuda:0')"
