epoch,lr,train loss,train acc,test loss,test acc,decay
0,0.01,2.016743440505786,25.644,1.8176682194073994,34.26,"tensor([0.1000], device='cuda:0')"
1,0.01,1.688951208958259,38.102,1.5711735166036165,44.9,"tensor([0.1000], device='cuda:0')"
2,0.01,1.5139128437409035,45.422,1.3690881698559492,51.26,"tensor([0.1000], device='cuda:0')"
3,0.01,1.3300971911503718,52.508,1.2224360429323637,57.95,"tensor([0.1000], device='cuda:0')"
4,0.01,1.1996506007818075,57.526,1.0912602757796264,61.76,"tensor([0.1000], device='cuda:0')"
5,0.01,1.1114820624009156,60.77,1.0142235029966404,64.81,"tensor([0.1000], device='cuda:0')"
6,0.01,1.0377154958553803,63.938,0.994792212278415,65.4,"tensor([0.1000], device='cuda:0')"
7,0.01,0.9795685564860319,65.972,0.912344787365351,68.92,"tensor([0.1000], device='cuda:0')"
8,0.01,0.9400257005141331,67.586,0.9949582700545971,66.09,"tensor([0.1000], device='cuda:0')"
9,0.01,0.9082045211241796,68.694,0.8623273151043134,70.87,"tensor([0.1000], device='cuda:0')"
