epoch,lr,train loss,train acc,test loss,test acc,decay
0,0.01,2.0612520670279477,24.604,1.8492065591689868,33.81,"tensor([100.], device='cuda:0')"
1,0.01,1.8131851566143524,34.48,1.639125759784992,40.99,"tensor([100.], device='cuda:0')"
2,0.01,1.6603816655965953,41.09,1.4829903367238166,47.26,"tensor([100.], device='cuda:0')"
3,0.01,1.519234892955193,47.69,1.3707434779558427,50.55,"tensor([100.], device='cuda:0')"
4,0.01,1.4235155487671876,51.638,1.295444702490782,54.9,"tensor([100.], device='cuda:0')"
5,0.01,1.3643075395853093,54.202,1.2446357814165263,56.14,"tensor([100.], device='cuda:0')"
6,0.01,1.309492597824488,56.558,1.1587172402785375,60.18,"tensor([100.], device='cuda:0')"
7,0.01,1.2721816692596828,58.312,1.159870473238138,59.98,"tensor([100.], device='cuda:0')"
8,0.01,1.2395793564808675,59.922,1.0828223809217796,62.31,"tensor([100.], device='cuda:0')"
9,0.01,1.2024716244294094,61.43,1.0631958582462409,63.58,"tensor([100.], device='cuda:0')"
