epoch,lr,train loss,train acc,test loss,test acc,decay
0,0.01,1.8439102386816955,34.622,1.6471351110018218,42.12,"tensor([1.0000e-04], device='cuda:0')"
1,0.01,1.6040835246061667,42.83,1.5069273847800035,47.35,"tensor([1.0000e-04], device='cuda:0')"
2,0.01,1.5260268779901358,45.602,1.3966704851541765,51.12,"tensor([1.0000e-04], device='cuda:0')"
3,0.01,1.490560294725956,47.096,1.364132081850981,52.9,"tensor([1.0000e-04], device='cuda:0')"
4,0.01,1.4539294025836846,48.376,1.3466820487609277,52.95,"tensor([1.0000e-04], device='cuda:0')"
5,0.01,1.4156934114602895,50.03,1.2898567196650383,55.37,"tensor([1.0000e-04], device='cuda:0')"
6,0.01,1.3682163452490783,51.94,1.226386620448186,57.48,"tensor([1.0000e-04], device='cuda:0')"
7,0.01,1.330722932326488,53.444,1.181322456170351,59.44,"tensor([1.0000e-04], device='cuda:0')"
8,0.01,1.296791491141686,54.524,1.184030363192925,59.29,"tensor([1.0000e-04], device='cuda:0')"
9,0.01,1.271562101902106,55.502,1.1804648301540277,58.38,"tensor([1.0000e-04], device='cuda:0')"
