epoch,lr,train loss,train acc,test loss,test acc,decay
0,0.01,1.8899819468840575,34.474,1.538290566358811,44.94,"tensor([100.], device='cuda:0')"
1,0.01,1.5798333268899185,46.146,1.355597706941458,52.15,"tensor([100.], device='cuda:0')"
2,0.01,1.420000080573253,52.848,1.18745394777029,58.49,"tensor([100.], device='cuda:0')"
3,0.01,1.3267137127044872,56.852,1.1014680480345702,62.07,"tensor([100.], device='cuda:0')"
4,0.01,1.2742980299851834,59.142,1.0860158380789635,62.08,"tensor([100.], device='cuda:0')"
5,0.01,1.2390351729515272,60.632,1.0537132727794158,63.25,"tensor([100.], device='cuda:0')"
6,0.01,1.212278563548357,61.906,0.9931968320638705,65.85,"tensor([100.], device='cuda:0')"
7,0.01,1.1860662620801192,63.142,0.9639164323990161,67.07,"tensor([100.], device='cuda:0')"
8,0.01,1.1684536224756485,63.7,1.0491592295658894,63.89,"tensor([100.], device='cuda:0')"
9,0.01,1.1434141024565085,65.05,0.8903947747670687,69.65,"tensor([100.], device='cuda:0')"
