epoch,lr,train loss,train acc,test loss,test acc,decay
0,0.01,2.124794381398421,22.096,1.9812978903452556,28.17,"tensor([100.], device='cuda:0')"
1,0.01,1.9186817422891274,30.592,1.7483789431743133,37.1,"tensor([100.], device='cuda:0')"
2,0.01,1.7807601005603106,36.3,1.6765222274340117,40.32,"tensor([100.], device='cuda:0')"
3,0.01,1.671308834430499,41.268,1.6171295031523094,42.28,"tensor([100.], device='cuda:0')"
4,0.01,1.576854573763334,45.734,1.4521797406367767,49.6,"tensor([100.], device='cuda:0')"
5,0.01,1.5294345965752234,47.684,1.410044008340591,50.29,"tensor([100.], device='cuda:0')"
6,0.01,1.4878710538913043,49.68,1.3299355430480762,53.24,"tensor([100.], device='cuda:0')"
7,0.01,1.4776276398927737,50.126,1.4156056459133441,50.67,"tensor([100.], device='cuda:0')"
8,0.01,1.4514805041826688,51.302,1.4207603564629188,48.55,"tensor([100.], device='cuda:0')"
9,0.01,1.4362264578159039,51.954,1.3014259873292384,54.99,"tensor([100.], device='cuda:0')"
