epoch,lr,train loss,train acc,test loss,test acc,decay
0,0.01,2.0103561309667732,27.924,1.801151460561997,36.89,"tensor([100.], device='cuda:0')"
1,0.01,1.7643587271372476,37.76,1.6058213389836824,42.55,"tensor([100.], device='cuda:0')"
2,0.01,1.631647746073894,42.198,1.5046110199047968,46.7,"tensor([100.], device='cuda:0')"
3,0.01,1.5552438870454446,45.412,1.401077959782038,50.85,"tensor([100.], device='cuda:0')"
4,0.01,1.4918763420520684,48.4,1.3359056879312565,52.53,"tensor([100.], device='cuda:0')"
5,0.01,1.437483245287186,50.956,1.246739965218764,56.96,"tensor([100.], device='cuda:0')"
6,0.01,1.4081717567566114,52.374,1.2741723305139787,56.0,"tensor([100.], device='cuda:0')"
7,0.01,1.3714161646671785,54.032,1.217309846327855,57.5,"tensor([100.], device='cuda:0')"
8,0.01,1.3469651561516982,54.906,1.1948808003694584,57.76,"tensor([100.], device='cuda:0')"
9,0.01,1.3415210586327773,55.576,1.1608855663201747,60.3,"tensor([100.], device='cuda:0')"
