epoch,lr,train loss,train acc,test loss,test acc,decay
0,0.01,2.1170836399763058,20.91,1.88949953745573,32.81,"tensor([0.0100], device='cuda:0')"
1,0.01,1.7623873964334145,35.224,1.5557984113693237,43.26,"tensor([0.0100], device='cuda:0')"
2,0.01,1.5524858517524525,43.214,1.4223368351276104,49.29,"tensor([0.0100], device='cuda:0')"
3,0.01,1.4086349670703595,49.32,1.2891456423661647,54.32,"tensor([0.0100], device='cuda:0')"
4,0.01,1.2961318413416545,53.814,1.217723087622569,57.66,"tensor([0.0100], device='cuda:0')"
5,0.01,1.1956474366860512,57.934,1.2369047640225825,57.83,"tensor([0.0100], device='cuda:0')"
6,0.01,1.1073244125415118,61.22,1.06279584306937,62.95,"tensor([0.0100], device='cuda:0')"
7,0.01,1.0365968701166985,63.934,1.125116229057312,62.15,"tensor([0.0100], device='cuda:0')"
8,0.01,0.9893023246373885,65.824,0.989724833995868,66.12,"tensor([0.0100], device='cuda:0')"
9,0.01,0.9415173137799288,67.338,0.9356636680089511,68.14,"tensor([0.0100], device='cuda:0')"
