epoch,lr,train loss,train acc,test loss,test acc,decay
0,0.01,1.8818891974595877,33.314,1.6601375096883528,42.82,"tensor([1.0000e-04], device='cuda:0')"
1,0.01,1.6385264904071124,41.908,1.507041246463091,47.3,"tensor([1.0000e-04], device='cuda:0')"
2,0.01,1.5452791003080515,44.954,1.4612477330061107,49.32,"tensor([1.0000e-04], device='cuda:0')"
3,0.01,1.5126055454596494,46.324,1.3973659643760095,51.3,"tensor([1.0000e-04], device='cuda:0')"
4,0.01,1.4785556374452054,47.422,1.3552218201832893,52.94,"tensor([1.0000e-04], device='cuda:0')"
5,0.01,1.4450989787395183,48.792,1.3251835321768737,54.02,"tensor([1.0000e-04], device='cuda:0')"
6,0.01,1.3990051199228335,50.644,1.2784803601411672,55.88,"tensor([1.0000e-04], device='cuda:0')"
7,0.01,1.3677278888531221,51.838,1.2637396622926762,56.34,"tensor([1.0000e-04], device='cuda:0')"
8,0.01,1.3334928335287632,53.274,1.2132721581520178,58.43,"tensor([1.0000e-04], device='cuda:0')"
9,0.01,1.3006101125325913,54.668,1.1829498937496772,59.12,"tensor([1.0000e-04], device='cuda:0')"
