epoch,lr,train loss,train acc,test loss,test acc,decay
0,0.01,1.8641528444412427,32.554,1.5520588602775183,44.87,"tensor([0.1000], device='cuda:0')"
1,0.01,1.534792500275832,44.594,1.362308716162657,51.96,"tensor([0.1000], device='cuda:0')"
2,0.01,1.3675350250341953,51.28,1.1943954810118065,58.55,"tensor([0.1000], device='cuda:0')"
3,0.01,1.2612591749582536,55.398,1.1138069056547606,61.15,"tensor([0.1000], device='cuda:0')"
4,0.01,1.181036152289464,58.596,1.0647485141570752,62.94,"tensor([0.1000], device='cuda:0')"
5,0.01,1.1348789025575687,60.328,1.047489630106168,64.11,"tensor([0.1000], device='cuda:0')"
6,0.01,1.0990576991668115,61.56,0.9909569964959071,66.04,"tensor([0.1000], device='cuda:0')"
7,0.01,1.0676612100540064,62.93,0.9556932999537542,67.41,"tensor([0.1000], device='cuda:0')"
8,0.01,1.0425170932060632,63.908,0.9272431127535992,68.28,"tensor([0.1000], device='cuda:0')"
9,0.01,1.0367510344737616,64.038,0.9539503080722613,67.49,"tensor([0.1000], device='cuda:0')"
