epoch,lr,train loss,train acc,test loss,test acc,decay
0,0.01,2.075681254496941,22.774,1.8716953519063118,31.44,"tensor([0.1000], device='cuda:0')"
1,0.01,1.8054968491578713,33.336,1.6952538368029473,38.82,"tensor([0.1000], device='cuda:0')"
2,0.01,1.6504948123907432,39.52,1.5478664911710298,45.25,"tensor([0.1000], device='cuda:0')"
3,0.01,1.5184256247985057,45.138,1.4755437419964716,46.14,"tensor([0.1000], device='cuda:0')"
4,0.01,1.4152303674282172,49.418,1.403268380042834,49.47,"tensor([0.1000], device='cuda:0')"
5,0.01,1.3248028590128973,52.652,1.262159146559544,55.64,"tensor([0.1000], device='cuda:0')"
6,0.01,1.2575369746257097,55.386,1.2157462514363802,57.38,"tensor([0.1000], device='cuda:0')"
7,0.01,1.222378421593935,56.814,1.1730887194474537,59.07,"tensor([0.1000], device='cuda:0')"
8,0.01,1.1828244385046838,58.102,1.258500576019287,56.83,"tensor([0.1000], device='cuda:0')"
9,0.01,1.14426277417403,59.814,1.1182908178904118,61.28,"tensor([0.1000], device='cuda:0')"
