epoch,lr,train loss,train acc,test loss,test acc,decay
0,0.01,1.9788688081961412,27.388,1.6459996012540965,40.23,"tensor([1.0000e-04], device='cuda:0')"
1,0.01,1.5544103322884975,42.94,1.3218538975104308,52.83,"tensor([1.0000e-04], device='cuda:0')"
2,0.01,1.3080020632499303,53.064,1.256573002307843,55.82,"tensor([1.0000e-04], device='cuda:0')"
3,0.01,1.1366692405480605,59.744,0.9792772340468872,66.37,"tensor([1.0000e-04], device='cuda:0')"
4,0.01,0.9873611068114256,65.37,0.9034190460657462,68.8,"tensor([1.0000e-04], device='cuda:0')"
5,0.01,0.8788927905070476,69.378,0.8301289131244024,72.11,"tensor([1.0000e-04], device='cuda:0')"
6,0.01,0.7876970314062559,72.792,0.7996554290636991,73.03,"tensor([1.0000e-04], device='cuda:0')"
7,0.01,0.7388669490814209,74.576,0.7179853981121992,75.61,"tensor([1.0000e-04], device='cuda:0')"
8,0.01,0.6732267086322491,76.848,0.7323812185189663,75.85,"tensor([1.0000e-04], device='cuda:0')"
9,0.01,0.6447024617439662,77.962,0.6616719567622894,77.42,"tensor([1.0000e-04], device='cuda:0')"
