epoch,lr,train loss,train acc,test loss,test acc,decay
0,0.01,2.0611743688583375,25.46,1.7606593844218132,37.82,"tensor([100.], device='cuda:0')"
1,0.01,1.7382711062064538,38.982,1.494339713683495,47.69,"tensor([100.], device='cuda:0')"
2,0.01,1.5108829110096662,47.916,1.293413622257037,54.64,"tensor([100.], device='cuda:0')"
3,0.01,1.3806619075628428,53.788,1.2158106443209526,57.53,"tensor([100.], device='cuda:0')"
4,0.01,1.2803929423674558,58.086,1.0497716718759291,64.75,"tensor([100.], device='cuda:0')"
5,0.01,1.2073976718462431,61.504,1.0376682029320643,64.25,"tensor([100.], device='cuda:0')"
6,0.01,1.1564519460384661,63.564,0.9644124141106238,67.41,"tensor([100.], device='cuda:0')"
7,0.01,1.1251439190827883,65.174,0.9382812205033425,67.75,"tensor([100.], device='cuda:0')"
8,0.01,1.085115112708165,66.77,0.8976642000369537,69.14,"tensor([100.], device='cuda:0')"
9,0.01,1.0688172390827766,67.488,0.8831064876837608,69.48,"tensor([100.], device='cuda:0')"
