epoch,lr,train loss,train acc,test loss,test acc,decay
0,0.01,1.9976450519684033,27.368,1.7108516112352028,40.46,"tensor([1.0000e-04], device='cuda:0')"
1,0.01,1.6703326359773294,39.846,1.5475517496084557,45.43,"tensor([1.0000e-04], device='cuda:0')"
2,0.01,1.558159341261937,43.862,1.4507134740169232,47.73,"tensor([1.0000e-04], device='cuda:0')"
3,0.01,1.4691596401043427,47.688,1.3460656557327662,52.94,"tensor([1.0000e-04], device='cuda:0')"
4,0.01,1.387287674806057,50.648,1.308282005481231,54.17,"tensor([1.0000e-04], device='cuda:0')"
5,0.01,1.346535262083396,52.572,1.2743015029491522,55.47,"tensor([1.0000e-04], device='cuda:0')"
6,0.01,1.3089768055157784,53.806,1.218943028877943,57.91,"tensor([1.0000e-04], device='cuda:0')"
7,0.01,1.2873733700850072,54.848,1.2030814687410991,58.76,"tensor([1.0000e-04], device='cuda:0')"
8,0.01,1.2732462594142326,55.5,1.1966572617873168,58.61,"tensor([1.0000e-04], device='cuda:0')"
9,0.01,1.2498561032307454,56.278,1.1753529042769701,59.64,"tensor([1.0000e-04], device='cuda:0')"
