epoch,lr,train loss,train acc,test loss,test acc,decay
0,0.01,2.11952521556463,21.528,1.9836727380752563,27.87,"tensor([0.0100], device='cuda:0')"
1,0.01,1.8559585519326038,31.764,1.7239192494979272,38.73,"tensor([0.0100], device='cuda:0')"
2,0.01,1.7170737746434335,37.306,1.6205383386367407,42.37,"tensor([0.0100], device='cuda:0')"
3,0.01,1.6165612899340116,41.664,1.5250495748642163,45.96,"tensor([0.0100], device='cuda:0')"
4,0.01,1.5144190452037714,46.126,1.4104735194108424,50.16,"tensor([0.0100], device='cuda:0')"
5,0.01,1.4465018348816114,48.596,1.3432268286362672,52.82,"tensor([0.0100], device='cuda:0')"
6,0.01,1.402694614116962,50.046,1.3716703317104242,50.98,"tensor([0.0100], device='cuda:0')"
7,0.01,1.358081778807518,51.822,1.3242919536737294,53.9,"tensor([0.0100], device='cuda:0')"
8,0.01,1.3348651366356092,52.696,1.278640675239074,55.05,"tensor([0.0100], device='cuda:0')"
9,0.01,1.3251911190839913,53.026,1.2952428200306036,55.3,"tensor([0.0100], device='cuda:0')"
