epoch,lr,train loss,train acc,test loss,test acc,decay
0,0.01,1.953417045642168,26.568,1.7175859182308881,34.79,"tensor([0.0100], device='cuda:0')"
1,0.01,1.5011258932260367,44.834,1.3362656571926215,51.93,"tensor([0.0100], device='cuda:0')"
2,0.01,1.1960522073965807,57.108,1.0806665848463008,62.74,"tensor([0.0100], device='cuda:0')"
3,0.01,0.9565035871970348,66.23,0.8349675612571912,71.36,"tensor([0.0100], device='cuda:0')"
4,0.01,0.791712560561987,72.61,0.7199497597339826,75.09,"tensor([0.0100], device='cuda:0')"
5,0.01,0.6909470375531759,76.09,0.687423403828572,76.5,"tensor([0.0100], device='cuda:0')"
6,0.01,0.6204388884397654,78.418,0.6078841682427969,79.86,"tensor([0.0100], device='cuda:0')"
7,0.01,0.5617400062389862,80.7,0.5515195761735623,81.47,"tensor([0.0100], device='cuda:0')"
8,0.01,0.5053862741360298,82.548,0.580589004434072,81.1,"tensor([0.0100], device='cuda:0')"
9,0.01,0.4551310198429303,84.368,0.5068085598639953,83.34,"tensor([0.0100], device='cuda:0')"
