epoch,lr,train loss,train acc,test loss,test acc,decay
0,0.01,2.1213728715211917,21.398,2.0049744370656137,26.6,"tensor([0.1000], device='cuda:0')"
1,0.01,1.9048019717901181,30.22,1.774040468228169,36.96,"tensor([0.1000], device='cuda:0')"
2,0.01,1.7268205450131342,36.574,1.7037721704214046,36.85,"tensor([0.1000], device='cuda:0')"
3,0.01,1.6099917381237714,41.076,1.5742171727693999,44.47,"tensor([0.1000], device='cuda:0')"
4,0.01,1.4941277033243423,45.758,1.3797335105064588,50.88,"tensor([0.1000], device='cuda:0')"
5,0.01,1.4180856661918835,49.376,1.365953388886574,51.43,"tensor([0.1000], device='cuda:0')"
6,0.01,1.380258903442285,50.354,1.4161375852731557,50.01,"tensor([0.1000], device='cuda:0')"
7,0.01,1.3519709024673854,51.654,1.3788583844135969,51.89,"tensor([0.1000], device='cuda:0')"
8,0.01,1.3331648802145935,52.514,1.2881443775617158,55.26,"tensor([0.1000], device='cuda:0')"
9,0.01,1.3114480431263262,53.534,1.248030397372368,56.27,"tensor([0.1000], device='cuda:0')"
