epoch,lr,train loss,train acc,test loss,test acc,decay
0,0.01,1.9432883638602036,29.014,1.7220315917944298,37.33,"tensor([0.0100], device='cuda:0')"
1,0.01,1.5931654257652088,42.142,1.391823845031934,50.9,"tensor([0.0100], device='cuda:0')"
2,0.01,1.3528564978868534,51.356,1.1907639778577364,58.39,"tensor([0.0100], device='cuda:0')"
3,0.01,1.177324508703672,58.352,1.1075388689835866,60.25,"tensor([0.0100], device='cuda:0')"
4,0.01,1.0788100348069118,62.176,1.0275134795751326,64.53,"tensor([0.0100], device='cuda:0')"
5,0.01,0.9849180094706707,65.656,0.9100980972632383,68.57,"tensor([0.0100], device='cuda:0')"
6,0.01,0.9261909483334957,68.02,0.9254144980357244,68.06,"tensor([0.0100], device='cuda:0')"
7,0.01,0.8659296654737912,70.23,0.8414617341298324,72.17,"tensor([0.0100], device='cuda:0')"
8,0.01,0.8180120617915423,71.892,0.7610797007114459,74.19,"tensor([0.0100], device='cuda:0')"
9,0.01,0.7919548282256493,72.826,0.7992344685854056,73.91,"tensor([0.0100], device='cuda:0')"
