epoch,lr,train loss,train acc,test loss,test acc,decay
0,0.01,2.113878311560704,22.596,1.963252400740599,27.44,"tensor([100.], device='cuda:0')"
1,0.01,1.860970159066029,32.238,1.7661482722331316,37.16,"tensor([100.], device='cuda:0')"
2,0.01,1.73774296717766,37.996,1.6098000743450263,42.29,"tensor([100.], device='cuda:0')"
3,0.01,1.629963854031685,42.984,1.4623657037050297,47.9,"tensor([100.], device='cuda:0')"
4,0.01,1.53784686540946,47.038,1.3587552492435162,52.43,"tensor([100.], device='cuda:0')"
5,0.01,1.4585712007987193,50.276,1.3283853041820037,53.15,"tensor([100.], device='cuda:0')"
6,0.01,1.400386397043864,53.064,1.2748621977292574,55.6,"tensor([100.], device='cuda:0')"
7,0.01,1.3542599647473066,54.878,1.1989881999981709,57.78,"tensor([100.], device='cuda:0')"
8,0.01,1.3385990876417893,55.642,1.150074540040432,60.17,"tensor([100.], device='cuda:0')"
9,0.01,1.3140044796161163,56.822,1.1888467279764323,58.98,"tensor([100.], device='cuda:0')"
