epoch,lr,train loss,train acc,test loss,test acc,decay
0,0.01,2.0365740024126495,26.45,1.8926620177733593,33.97,"tensor([100.], device='cuda:0')"
1,0.01,1.8904666983164273,33.316,1.8126386679135835,38.12,"tensor([100.], device='cuda:0')"
2,0.01,1.858053641441541,34.744,1.7974337079586127,37.96,"tensor([100.], device='cuda:0')"
3,0.01,1.8328753801492543,35.554,1.743697186311086,39.32,"tensor([100.], device='cuda:0')"
4,0.01,1.7993103812902402,36.73,1.725545999331352,39.96,"tensor([100.], device='cuda:0')"
5,0.01,1.775332349080306,37.102,1.6992856692045162,40.51,"tensor([100.], device='cuda:0')"
6,0.01,1.7687160060955929,37.164,1.682870815961789,40.57,"tensor([100.], device='cuda:0')"
7,0.01,1.76845090786616,36.872,1.6519779746349041,41.46,"tensor([100.], device='cuda:0')"
8,0.01,1.7583382258048423,37.404,1.6691757608682682,40.91,"tensor([100.], device='cuda:0')"
9,0.01,1.7534636054283534,37.684,1.644178257538722,41.31,"tensor([100.], device='cuda:0')"
